x,y,alive
11,0,t
15,0,t
16,0,t
18,0,t
27,0,t
35,0,t
39,0,t
41,0,t
1,1,t
5,1,t
6,1,t
10,1,t
16,1,t
18,1,t
20,1,t
26,1,t
29,1,t
30,1,t
35,1,t
38,1,t
27,2,t
28,2,t
30,2,t
38,2,t
39,2,t
40,2,t
41,2,t
2,3,t
5,3,t
6,3,t
18,3,t
19,3,t
27,3,t
29,3,t
33,3,t
37,3,t
39,3,t
41,3,t
3,4,t
5,4,t
7,4,t
11,4,t
17,4,t
22,4,t
27,4,t
28,4,t
29,4,t
30,4,t
38,4,t
5,5,t
6,5,t
7,5,t
11,5,t
17,5,t
18,5,t
22,5,t
26,5,t
30,5,t
31,5,t
38,5,t
39,5,t
41,5,t
0,6,t
1,6,t
14,6,t
15,6,t
18,6,t
22,6,t
23,6,t
27,6,t
28,6,t
30,6,t
33,6,t
37,6,t
38,6,t
41,6,t
1,7,t
2,7,t
4,7,t
6,7,t
10,7,t
11,7,t
18,7,t
19,7,t
20,7,t
26,7,t
27,7,t
29,7,t
31,7,t
32,7,t
33,7,t
38,7,t
39,7,t
0,8,t
1,8,t
5,8,t
8,8,t
9,8,t
12,8,t
15,8,t
18,8,t
22,8,t
25,8,t
26,8,t
29,8,t
30,8,t
31,8,t
34,8,t
36,8,t
37,8,t
38,8,t
39,8,t
2,9,t
5,9,t
8,9,t
10,9,t
11,9,t
12,9,t
15,9,t
17,9,t
20,9,t
21,9,t
22,9,t
26,9,t
27,9,t
28,9,t
30,9,t
31,9,t
34,9,t
35,9,t
36,9,t
38,9,t
40,9,t
41,9,t
3,10,t
4,10,t
5,10,t
6,10,t
8,10,t
9,10,t
11,10,t
12,10,t
16,10,t
18,10,t
19,10,t
20,10,t
22,10,t
23,10,t
30,10,t
31,10,t
33,10,t
34,10,t
36,10,t
37,10,t
38,10,t
40,10,t
41,10,t
1,11,t
3,11,t
5,11,t
6,11,t
8,11,t
10,11,t
11,11,t
16,11,t
18,11,t
19,11,t
21,11,t
22,11,t
26,11,t
27,11,t
28,11,t
29,11,t
31,11,t
32,11,t
8,12,t
9,12,t
10,12,t
13,12,t
14,12,t
16,12,t
17,12,t
18,12,t
20,12,t
21,12,t
22,12,t
26,12,t
28,12,t
29,12,t
33,12,t
34,12,t
35,12,t
37,12,t
39,12,t
41,12,t
3,13,t
4,13,t
6,13,t
7,13,t
8,13,t
10,13,t
11,13,t
14,13,t
15,13,t
18,13,t
21,13,t
22,13,t
25,13,t
26,13,t
28,13,t
29,13,t
37,13,t
38,13,t
40,13,t
41,13,t
5,14,t
6,14,t
7,14,t
11,14,t
12,14,t
15,14,t
16,14,t
18,14,t
19,14,t
22,14,t
23,14,t
2,15,t
3,15,t
4,15,t
8,15,t
9,15,t
10,15,t
14,15,t
15,15,t
16,15,t
19,15,t
30,15,t
31,15,t
32,15,t
35,15,t
36,15,t
37,15,t
40,15,t
41,15,t
3,16,t
5,16,t
6,16,t
7,16,t
8,16,t
11,16,t
12,16,t
17,16,t
18,16,t
19,16,t
20,16,t
21,16,t
22,16,t
23,16,t
26,16,t
28,16,t
29,16,t
30,16,t
31,16,t
34,16,t
35,16,t
36,16,t
38,16,t
39,16,t
40,16,t
0,17,t
1,17,t
4,17,t
5,17,t
6,17,t
7,17,t
8,17,t
9,17,t
11,17,t
12,17,t
15,17,t
16,17,t
19,17,t
20,17,t
21,17,t
27,17,t
28,17,t
29,17,t
33,17,t
34,17,t
35,17,t
36,17,t
37,17,t
38,17,t
39,17,t
40,17,t
3,18,t
5,18,t
6,18,t
10,18,t
11,18,t
15,18,t
16,18,t
18,18,t
19,18,t
20,18,t
30,18,t
31,18,t
32,18,t
33,18,t
37,18,t
38,18,t
40,18,t
4,19,t
5,19,t
7,19,t
11,19,t
12,19,t
13,19,t
14,19,t
18,19,t
20,19,t
28,19,t
29,19,t
31,19,t
32,19,t
33,19,t
36,19,t
37,19,t
38,19,t
40,19,t
41,19,t
42,19,t
1,20,t
2,20,t
3,20,t
5,20,t
10,20,t
11,20,t
15,20,t
16,20,t
18,20,t
20,20,t
21,20,t
22,20,t
26,20,t
27,20,t
28,20,t
30,20,t
35,20,t
36,20,t
37,20,t
41,20,t
42,20,t
3,21,t
4,21,t
6,21,t
7,21,t
8,21,t
9,21,t
11,21,t
12,21,t
15,21,t
16,21,t
17,21,t
18,21,t
21,21,t
22,21,t
23,21,t
24,21,t
27,21,t
28,21,t
29,21,t
31,21,t
32,21,t
33,21,t
35,21,t
36,21,t
37,21,t
38,21,t
39,21,t
40,21,t
41,21,t
42,21,t
1,22,t
4,22,t
5,22,t
